CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Inicio_Exercicio_Social;Data_Fim_Exercicio_Social;Orgao_Administracao;Quantidade_Total_Membros;Quantidade_Membros_Remunerados;Quantidade_Acoes;Preco_Medio_Ponderado_Aquisicao;Preco_Medio_Ponderado_Mercado;Valor_Diferenca_Aquisicao_Mercado
00.743.065/0001-27;2025-12-31;3;153759;LITEL PARTICIPACOES S.A.;2022-01-01;2022-12-31;Conselho de Administração;4.00;2.00;0;0.00;0.00;0.00
00.743.065/0001-27;2025-12-31;3;153759;LITEL PARTICIPACOES S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;2.00;2.00;0;0.00;0.00;0.00
00.776.574/0001-56;2025-12-31;6;154680;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2022-01-01;2022-12-31;Diretoria Estatutária;4.00;4.00;1255450;14.50;14.50;0.00
00.776.574/0001-56;2025-12-31;6;154680;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2022-01-01;2022-12-31;Conselho de Administração;7.00;0.00;0;0.00;0.00;0.00
00.776.574/0001-56;2025-12-31;6;154680;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2022-01-01;2022-12-31;Conselho Fiscal;3.00;0.00;0;0.00;0.00;0.00
00.776.574/0001-56;2025-12-31;6;154680;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2024-01-01;2024-12-31;Conselho de Administração;7.00;0.00;0;0.00;0.00;0.00
00.776.574/0001-56;2025-12-31;6;154680;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2024-01-01;2024-12-31;Diretoria Estatutária;2.00;0.00;0;0.00;0.00;0.00
00.776.574/0001-56;2025-12-31;6;154680;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2024-01-01;2024-12-31;Conselho Fiscal;3.67;0.00;0;0.00;0.00;0.00
00.776.574/0001-56;2025-12-31;6;154680;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2023-01-01;2023-12-31;Conselho de Administração;7.00;0.00;0;0.00;0.00;0.00
00.776.574/0001-56;2025-12-31;6;154680;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2023-01-01;2023-12-31;Diretoria Estatutária;3.50;0.00;0;0.00;0.00;0.00
00.776.574/0001-56;2025-12-31;6;154680;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2023-01-01;2023-12-31;Conselho Fiscal;4.50;0.00;0;0.00;0.00;0.00
00.864.214/0001-06;2025-12-31;8;154789;ENERGISA S.A.;2024-01-01;2024-12-31;Conselho de Administração;8.00;6.00;0;0.00;0.00;0.00
00.864.214/0001-06;2025-12-31;8;154789;ENERGISA S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;5.00;5.00;0;0.00;0.00;0.00
00.864.214/0001-06;2025-12-31;8;154789;ENERGISA S.A.;2024-01-01;2024-12-31;Conselho Fiscal;10.00;4.33;0;0.00;0.00;0.00
00.864.214/0001-06;2025-12-31;8;154789;ENERGISA S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;5.00;5.00;37933;0.00;0.00;0.00
00.864.214/0001-06;2025-12-31;8;154789;ENERGISA S.A.;2023-01-01;2023-12-31;Conselho de Administração;10.00;0.00;0;0.00;0.00;0.00
00.864.214/0001-06;2025-12-31;8;154789;ENERGISA S.A.;2023-01-01;2023-12-31;Conselho Fiscal;8.67;0.00;0;0.00;0.00;0.00
00.864.214/0001-06;2025-12-31;8;154789;ENERGISA S.A.;2022-01-01;2022-12-31;Conselho Fiscal;7.33;0.00;0;0.00;0.00;0.00
00.864.214/0001-06;2025-12-31;8;154789;ENERGISA S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;5.00;5.00;37933;0.00;43.96;-1667534.68
00.864.214/0001-06;2025-12-31;8;154789;ENERGISA S.A.;2022-01-01;2022-12-31;Conselho de Administração;9.67;0.00;0;0.00;0.00;0.00
