CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Inicio_Exercicio_Social;Data_Fim_Exercicio_Social;Orgao_Administracao;Quantidade_Total_Membros;Quantidade_Membros_Remunerados;Diluicao_Potencial;Preco_Medio_Ponderado_Opcoes_Em_Aberto;Preco_Medio_Ponderado_Opcoes_Perdidas;Preco_Medio_Ponderado_Opcoes_Exercidas
00.001.180/0001-26;2025-12-31;14;154746;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2023-01-01;2023-12-31;Conselho de Administração;9.00;0.00;0.000000;0.00;0.00;0.00
00.001.180/0001-26;2025-12-31;14;154746;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2023-01-01;2023-12-31;Diretoria Estatutária;9.83;9.83;0.310000;42.00;0.00;0.00
00.001.180/0001-26;2025-12-31;14;154746;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2024-01-01;2024-12-31;Conselho de Administração;9.00;0.00;0.000000;0.00;0.00;0.00
00.001.180/0001-26;2025-12-31;14;154746;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2024-01-01;2024-12-31;Diretoria Estatutária;11.75;11.75;0.310000;42.00;0.00;0.00
00.001.180/0001-26;2025-12-31;14;154746;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2025-01-01;2025-12-31;Conselho de Administração;10.00;0.00;0.000000;0.00;0.00;0.00
00.001.180/0001-26;2025-12-31;14;154746;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2025-01-01;2025-12-31;Diretoria Estatutária;12.00;12.00;0.310000;42.00;0.00;0.00
00.242.184/0001-04;2025-12-31;9;154387;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2023-01-01;2023-12-31;Conselho de Administração;8.33;1.00;0.010000;2.52;0.00;0.00
00.242.184/0001-04;2025-12-31;9;154387;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;3.33;2.00;1.000000;9.23;10.13;0.01
00.242.184/0001-04;2025-12-31;9;154387;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2022-01-01;2022-12-31;Conselho de Administração;6.00;1.00;0.010000;2.52;0.00;2.52
00.242.184/0001-04;2025-12-31;9;154387;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;3.00;1.00;0.000000;0.00;0.00;0.00
00.242.184/0001-04;2025-12-31;9;154387;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2024-01-01;2024-12-31;Conselho de Administração;8.33;1.00;0.000000;2.52;0.00;0.00
00.242.184/0001-04;2025-12-31;9;154387;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;3.00;1.00;0.000000;9.11;7.18;0.01
00.242.184/0001-04;2025-12-31;9;154387;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2025-01-01;2025-12-31;Conselho de Administração;7.33;1.00;0.000000;2.52;0.00;2.52
00.242.184/0001-04;2025-12-31;9;154387;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2025-01-01;2025-12-31;Diretoria Estatutária;3.00;1.00;0.000000;0.01;0.00;0.01
00.743.065/0001-27;2025-12-31;3;153759;LITEL PARTICIPACOES S.A.;2022-01-01;2022-12-31;Conselho de Administração;4.00;2.00;0.000000;0.00;0.00;0.00
00.743.065/0001-27;2025-12-31;3;153759;LITEL PARTICIPACOES S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;2.00;2.00;0.000000;0.00;0.00;0.00
00.776.574/0001-56;2025-12-31;6;154680;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2022-01-01;2022-12-31;Diretoria Estatutária;4.00;4.00;5.000000;0.00;0.00;14.50
00.776.574/0001-56;2025-12-31;6;154680;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2022-01-01;2022-12-31;Conselho de Administração;7.00;0.00;5.000000;49.63;0.00;0.00
00.776.574/0001-56;2025-12-31;6;154680;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2022-01-01;2022-12-31;Conselho Fiscal;3.00;0.00;0.000000;0.00;0.00;0.00
00.776.574/0001-56;2025-12-31;6;154680;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2025-01-01;2025-12-31;Conselho de Administração;7.00;0.00;0.000000;0.00;0.00;0.00
00.776.574/0001-56;2025-12-31;6;154680;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2025-01-01;2025-12-31;Diretoria Estatutária;4.00;0.00;0.000000;0.00;0.00;0.00
00.776.574/0001-56;2025-12-31;6;154680;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2025-01-01;2025-12-31;Conselho Fiscal;3.00;0.00;0.000000;0.00;0.00;0.00
00.776.574/0001-56;2025-12-31;6;154680;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2024-01-01;2024-12-31;Conselho de Administração;7.00;0.00;5.000000;49.63;0.00;0.00
00.776.574/0001-56;2025-12-31;6;154680;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2024-01-01;2024-12-31;Diretoria Estatutária;2.00;0.00;0.000000;0.00;0.00;0.00
00.776.574/0001-56;2025-12-31;6;154680;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2024-01-01;2024-12-31;Conselho Fiscal;3.67;0.00;0.000000;0.00;0.00;0.00
00.776.574/0001-56;2025-12-31;6;154680;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2023-01-01;2023-12-31;Conselho de Administração;7.00;0.00;5.000000;49.63;0.00;0.00
